"position"	"count"
1	6
2	10
3	10
4	10
5	10
6	15
7	32
8	35
9	35
10	35
11	42
12	42
13	42
14	42
15	42
16	42
17	82
18	82
19	145
20	145
21	152
22	152
23	152
24	152
25	153
26	253
27	261
28	265
29	268
30	279
31	286
32	301
33	306
34	308
35	309
36	323
37	369
38	374
39	379
40	379
41	381
42	384
43	393
44	399
45	402
46	402
47	469
48	471
49	472
50	481
51	488
52	489
53	501
54	502
55	529
56	529
57	526
58	529
59	538
60	543
61	552
62	553
63	555
64	553
65	557
66	593
67	615
68	620
69	619
70	625
71	633
72	638
73	686
74	686
75	691
76	691
77	691
78	710
79	710
80	712
81	714
82	713
83	713
84	714
85	715
86	738
87	745
88	758
89	781
90	782
91	792
92	792
93	792
94	809
95	808
96	842
97	843
98	836
99	836
100	857
101	853
102	862
103	864
104	864
105	886
106	892
107	894
108	899
109	895
110	897
111	901
112	905
113	906
114	896
115	898
116	896
117	904
118	904
119	899
120	899
121	893
122	893
123	895
124	899
125	899
126	893
127	898
128	899
129	899
130	899
131	894
132	895
133	885
134	884
135	882
136	882
137	884
138	884
139	884
140	884
141	884
142	888
143	884
144	868
145	857
146	853
147	853
148	852
149	852
150	851
151	829
152	823
153	823
154	823
155	817
156	815
157	811
158	811
159	811
160	809
161	807
162	806
163	802
164	126
165	122
166	122
167	122
168	119
169	119
170	500
171	500
172	497
173	480
174	479
175	471
176	468
177	467
178	467
179	470
180	470
181	476
182	474
183	476
184	484
185	494
186	498
187	506
188	504
189	507
190	504
191	516
192	516
193	526
194	534
195	534
196	534
197	538
198	541
199	547
200	547
201	551
202	556
203	558
204	559
205	559
206	559
207	560
208	560
209	585
210	590
211	601
212	602
213	602
214	606
215	606
216	608
217	608
218	609
219	609
220	603
221	620
222	621
223	619
224	617
225	618
226	620
227	620
228	620
229	620
230	620
231	620
232	620
233	619
234	615
235	609
236	609
237	609
238	617
239	612
240	613
241	613
242	613
243	611
244	605
245	588
246	590
247	590
248	587
249	585
250	569
251	566
252	552
253	550
254	542
255	542
256	540
257	540
258	536
259	536
260	534
261	522
262	519
263	518
264	517
265	518
266	516
267	516
268	506
269	504
270	502
271	504
272	503
273	474
274	474
275	460
276	458
277	459
278	457
279	455
280	449
281	447
282	447
283	439
284	431
285	427
286	427
287	425
288	386
289	368
290	361
291	349
292	346
293	336
294	327
295	331
296	331
297	328
298	328
299	327
300	323
301	324
302	323
303	309
304	307
305	307
306	306
307	305
308	303
309	295
310	295
311	293
312	290
313	288
314	285
315	282
316	277
317	274
318	270
319	270
320	270
321	266
322	265
323	258
324	246
325	234
326	228
327	213
328	213
329	121
330	116
331	116
332	116
333	116
334	116
335	115
336	115
337	115
338	115
339	116
340	116
341	109
342	109
343	108
344	112
345	113
346	113
347	111
